# Average annual utilization of renewable technologies, calculated using regional solar irradiance data and wind resource curves to adjust default assumptions,,,,
region,supplysector,subsector,stub.technology,year,capacity.factor
Africa_Western,electricity,wind,wind_storage,2075,0.42
Africa_Western,electricity,wind,wind_storage,2080,0.42
Africa_Western,electricity,wind,wind_storage,2085,0.42
Africa_Western,electricity,wind,wind_storage,2090,0.42
Africa_Western,electricity,wind,wind_storage,2095,0.42
Africa_Western,electricity,wind,wind_storage,2100,0.42
Australia_NZ,electricity,wind,wind_storage,1975,0.46
Australia_NZ,electricity,wind,wind_storage,1990,0.46
Australia_NZ,electricity,wind,wind_storage,2005,0.46
Australia_NZ,electricity,wind,wind_storage,2010,0.46
Australia_NZ,electricity,wind,wind_storage,2015,0.46
Australia_NZ,electricity,wind,wind_storage,2020,0.46
Australia_NZ,electricity,wind,wind_storage,2025,0.46
Australia_NZ,electricity,wind,wind_storage,2030,0.46
Australia_NZ,electricity,wind,wind_storage,2035,0.46
Australia_NZ,electricity,wind,wind_storage,2040,0.46
Australia_NZ,electricity,wind,wind_storage,2045,0.46
Australia_NZ,electricity,wind,wind_storage,2050,0.46
Australia_NZ,electricity,wind,wind_storage,2055,0.46
Australia_NZ,electricity,wind,wind_storage,2060,0.46
Australia_NZ,electricity,wind,wind_storage,2065,0.46
Australia_NZ,electricity,wind,wind_storage,2070,0.46
Australia_NZ,electricity,wind,wind_storage,2075,0.46
Australia_NZ,electricity,wind,wind_storage,2080,0.46
Australia_NZ,electricity,wind,wind_storage,2085,0.46
Australia_NZ,electricity,wind,wind_storage,2090,0.46
Australia_NZ,electricity,wind,wind_storage,2095,0.46
Australia_NZ,electricity,wind,wind_storage,2100,0.46
Brazil,electricity,wind,wind_storage,1975,0.42
Brazil,electricity,wind,wind_storage,1990,0.42
Brazil,electricity,wind,wind_storage,2005,0.42
Brazil,electricity,wind,wind_storage,2010,0.42
Brazil,electricity,wind,wind_storage,2015,0.42
Brazil,electricity,wind,wind_storage,2020,0.42
Brazil,electricity,wind,wind_storage,2025,0.42
Brazil,electricity,wind,wind_storage,2030,0.42
Brazil,electricity,wind,wind_storage,2035,0.42
Brazil,electricity,wind,wind_storage,2040,0.42
Brazil,electricity,wind,wind_storage,2045,0.42
Brazil,electricity,wind,wind_storage,2050,0.42
Brazil,electricity,wind,wind_storage,2055,0.42
Brazil,electricity,wind,wind_storage,2060,0.42
Brazil,electricity,wind,wind_storage,2065,0.42
Brazil,electricity,wind,wind_storage,2070,0.42
Brazil,electricity,wind,wind_storage,2075,0.42
Brazil,electricity,wind,wind_storage,2080,0.42
Brazil,electricity,wind,wind_storage,2085,0.42
Brazil,electricity,wind,wind_storage,2090,0.42
Brazil,electricity,wind,wind_storage,2095,0.42
Brazil,electricity,wind,wind_storage,2100,0.42
Canada,electricity,wind,wind_storage,1975,0.46
Canada,electricity,wind,wind_storage,1990,0.46
Canada,electricity,wind,wind_storage,2005,0.46
Canada,electricity,wind,wind_storage,2010,0.46
Canada,electricity,wind,wind_storage,2015,0.46
Canada,electricity,wind,wind_storage,2020,0.46
Canada,electricity,wind,wind_storage,2025,0.46
Canada,electricity,wind,wind_storage,2030,0.46
Canada,electricity,wind,wind_storage,2035,0.46
Canada,electricity,wind,wind_storage,2040,0.46
Canada,electricity,wind,wind_storage,2045,0.46
Canada,electricity,wind,wind_storage,2050,0.46
Canada,electricity,wind,wind_storage,2055,0.46
Canada,electricity,wind,wind_storage,2060,0.46
Canada,electricity,wind,wind_storage,2065,0.46
Canada,electricity,wind,wind_storage,2070,0.46
Canada,electricity,wind,wind_storage,2075,0.46
Canada,electricity,wind,wind_storage,2080,0.46
Canada,electricity,wind,wind_storage,2085,0.46
Canada,electricity,wind,wind_storage,2090,0.46
Canada,electricity,wind,wind_storage,2095,0.46
Canada,electricity,wind,wind_storage,2100,0.46
Central America and Caribbean,electricity,wind,wind_storage,1975,0.46
Central America and Caribbean,electricity,wind,wind_storage,1990,0.46
Central America and Caribbean,electricity,wind,wind_storage,2005,0.46
Central America and Caribbean,electricity,wind,wind_storage,2010,0.46
Central America and Caribbean,electricity,wind,wind_storage,2015,0.46
Central America and Caribbean,electricity,wind,wind_storage,2020,0.46
Central America and Caribbean,electricity,wind,wind_storage,2025,0.46
Central America and Caribbean,electricity,wind,wind_storage,2030,0.46
Central America and Caribbean,electricity,wind,wind_storage,2035,0.46
Central America and Caribbean,electricity,wind,wind_storage,2040,0.46
Central America and Caribbean,electricity,wind,wind_storage,2045,0.46
Central America and Caribbean,electricity,wind,wind_storage,2050,0.46
Central America and Caribbean,electricity,wind,wind_storage,2055,0.46
Central America and Caribbean,electricity,wind,wind_storage,2060,0.46
Central America and Caribbean,electricity,wind,wind_storage,2065,0.46
Central America and Caribbean,electricity,wind,wind_storage,2070,0.46
Central America and Caribbean,electricity,wind,wind_storage,2075,0.46
Central America and Caribbean,electricity,wind,wind_storage,2080,0.46
Central America and Caribbean,electricity,wind,wind_storage,2085,0.46
Central America and Caribbean,electricity,wind,wind_storage,2090,0.46
Central America and Caribbean,electricity,wind,wind_storage,2095,0.46
Central America and Caribbean,electricity,wind,wind_storage,2100,0.46
Central Asia,electricity,wind,wind_storage,1975,0.43
Central Asia,electricity,wind,wind_storage,1990,0.43
Central Asia,electricity,wind,wind_storage,2005,0.43
Central Asia,electricity,wind,wind_storage,2010,0.43
Central Asia,electricity,wind,wind_storage,2015,0.43
Central Asia,electricity,wind,wind_storage,2020,0.43
Central Asia,electricity,wind,wind_storage,2025,0.43
Central Asia,electricity,wind,wind_storage,2030,0.43
Central Asia,electricity,wind,wind_storage,2035,0.43
Central Asia,electricity,wind,wind_storage,2040,0.43
Central Asia,electricity,wind,wind_storage,2045,0.43
Central Asia,electricity,wind,wind_storage,2050,0.43
Central Asia,electricity,wind,wind_storage,2055,0.43
Central Asia,electricity,wind,wind_storage,2060,0.43
Central Asia,electricity,wind,wind_storage,2065,0.43
Central Asia,electricity,wind,wind_storage,2070,0.43
Central Asia,electricity,wind,wind_storage,2075,0.43
Central Asia,electricity,wind,wind_storage,2080,0.43
Central Asia,electricity,wind,wind_storage,2085,0.43
Central Asia,electricity,wind,wind_storage,2090,0.43
Central Asia,electricity,wind,wind_storage,2095,0.43
Central Asia,electricity,wind,wind_storage,2100,0.43
China,electricity,wind,wind_storage,1975,0.46
China,electricity,wind,wind_storage,1990,0.46
China,electricity,wind,wind_storage,2005,0.46
China,electricity,wind,wind_storage,2010,0.46
China,electricity,wind,wind_storage,2015,0.46
China,electricity,wind,wind_storage,2020,0.46
China,electricity,wind,wind_storage,2025,0.46
China,electricity,wind,wind_storage,2030,0.46
China,electricity,wind,wind_storage,2035,0.46
China,electricity,wind,wind_storage,2040,0.46
China,electricity,wind,wind_storage,2045,0.46
China,electricity,wind,wind_storage,2050,0.46
China,electricity,wind,wind_storage,2055,0.46
China,electricity,wind,wind_storage,2060,0.46
China,electricity,wind,wind_storage,2065,0.46
China,electricity,wind,wind_storage,2070,0.46
China,electricity,wind,wind_storage,2075,0.46
China,electricity,wind,wind_storage,2080,0.46
China,electricity,wind,wind_storage,2085,0.46
China,electricity,wind,wind_storage,2090,0.46
China,electricity,wind,wind_storage,2095,0.46
China,electricity,wind,wind_storage,2100,0.46
EU_Southwest,electricity,wind,wind_storage,1975,0.45
EU_Southwest,electricity,wind,wind_storage,1990,0.45
EU_Southwest,electricity,wind,wind_storage,2005,0.45
EU_Southwest,electricity,wind,wind_storage,2010,0.45
EU_Southwest,electricity,wind,wind_storage,2015,0.45
EU_Southwest,electricity,wind,wind_storage,2020,0.45
EU_Southwest,electricity,wind,wind_storage,2025,0.45
EU_Southwest,electricity,wind,wind_storage,2030,0.45
EU_Southwest,electricity,wind,wind_storage,2035,0.45
EU_Southwest,electricity,wind,wind_storage,2040,0.45
EU_Southwest,electricity,wind,wind_storage,2045,0.45
EU_Southwest,electricity,wind,wind_storage,2050,0.45
EU_Southwest,electricity,wind,wind_storage,2055,0.45
EU_Southwest,electricity,wind,wind_storage,2060,0.45
EU_Southwest,electricity,wind,wind_storage,2065,0.45
EU_Southwest,electricity,wind,wind_storage,2070,0.45
EU_Southwest,electricity,wind,wind_storage,2075,0.45
EU_Southwest,electricity,wind,wind_storage,2080,0.45
EU_Southwest,electricity,wind,wind_storage,2085,0.45
EU_Southwest,electricity,wind,wind_storage,2090,0.45
EU_Southwest,electricity,wind,wind_storage,2095,0.45
EU_Southwest,electricity,wind,wind_storage,2100,0.45
EU_Northwest,electricity,wind,wind_storage,1975,0.46
EU_Northwest,electricity,wind,wind_storage,1990,0.46
EU_Northwest,electricity,wind,wind_storage,2005,0.46
EU_Northwest,electricity,wind,wind_storage,2010,0.46
EU_Northwest,electricity,wind,wind_storage,2015,0.46
EU_Northwest,electricity,wind,wind_storage,2020,0.46
EU_Northwest,electricity,wind,wind_storage,2025,0.46
EU_Northwest,electricity,wind,wind_storage,2030,0.46
EU_Northwest,electricity,wind,wind_storage,2035,0.46
EU_Northwest,electricity,wind,wind_storage,2040,0.46
EU_Northwest,electricity,wind,wind_storage,2045,0.46
EU_Northwest,electricity,wind,wind_storage,2050,0.46
EU_Northwest,electricity,wind,wind_storage,2055,0.46
EU_Northwest,electricity,wind,wind_storage,2060,0.46
EU_Northwest,electricity,wind,wind_storage,2065,0.46
EU_Northwest,electricity,wind,wind_storage,2070,0.46
EU_Northwest,electricity,wind,wind_storage,2075,0.46
EU_Northwest,electricity,wind,wind_storage,2080,0.46
EU_Northwest,electricity,wind,wind_storage,2085,0.46
EU_Northwest,electricity,wind,wind_storage,2090,0.46
EU_Northwest,electricity,wind,wind_storage,2095,0.46
EU_Northwest,electricity,wind,wind_storage,2100,0.46
Europe_Eastern,electricity,wind,wind_storage,1975,0.31
Europe_Eastern,electricity,wind,wind_storage,1990,0.31
Europe_Eastern,electricity,wind,wind_storage,2005,0.31
Europe_Eastern,electricity,wind,wind_storage,2010,0.31
Europe_Eastern,electricity,wind,wind_storage,2015,0.31
Europe_Eastern,electricity,wind,wind_storage,2020,0.31
Europe_Eastern,electricity,wind,wind_storage,2025,0.31
Europe_Eastern,electricity,wind,wind_storage,2030,0.31
Europe_Eastern,electricity,wind,wind_storage,2035,0.31
Europe_Eastern,electricity,wind,wind_storage,2040,0.31
Europe_Eastern,electricity,wind,wind_storage,2045,0.31
Europe_Eastern,electricity,wind,wind_storage,2050,0.31
Europe_Eastern,electricity,wind,wind_storage,2055,0.31
Europe_Eastern,electricity,wind,wind_storage,2060,0.31
Europe_Eastern,electricity,wind,wind_storage,2065,0.31
Europe_Eastern,electricity,wind,wind_storage,2070,0.31
Europe_Eastern,electricity,wind,wind_storage,2075,0.31
Europe_Eastern,electricity,wind,wind_storage,2080,0.31
Europe_Eastern,electricity,wind,wind_storage,2085,0.31
Europe_Eastern,electricity,wind,wind_storage,2090,0.31
Europe_Eastern,electricity,wind,wind_storage,2095,0.31
Europe_Eastern,electricity,wind,wind_storage,2100,0.31
Europe_Non_EU,electricity,wind,wind_storage,1975,0.44
Europe_Non_EU,electricity,wind,wind_storage,1990,0.44
Europe_Non_EU,electricity,wind,wind_storage,2005,0.44
Europe_Non_EU,electricity,wind,wind_storage,2010,0.44
Europe_Non_EU,electricity,wind,wind_storage,2015,0.44
Europe_Non_EU,electricity,wind,wind_storage,2020,0.44
Europe_Non_EU,electricity,wind,wind_storage,2025,0.44
Europe_Non_EU,electricity,wind,wind_storage,2030,0.44
Europe_Non_EU,electricity,wind,wind_storage,2035,0.44
Europe_Non_EU,electricity,wind,wind_storage,2040,0.44
Europe_Non_EU,electricity,wind,wind_storage,2045,0.44
Europe_Non_EU,electricity,wind,wind_storage,2050,0.44
Europe_Non_EU,electricity,wind,wind_storage,2055,0.44
Europe_Non_EU,electricity,wind,wind_storage,2060,0.44
Europe_Non_EU,electricity,wind,wind_storage,2065,0.44
Europe_Non_EU,electricity,wind,wind_storage,2070,0.44
Europe_Non_EU,electricity,wind,wind_storage,2075,0.44
Europe_Non_EU,electricity,wind,wind_storage,2080,0.44
Europe_Non_EU,electricity,wind,wind_storage,2085,0.44
Europe_Non_EU,electricity,wind,wind_storage,2090,0.44
Europe_Non_EU,electricity,wind,wind_storage,2095,0.44
Europe_Non_EU,electricity,wind,wind_storage,2100,0.44
EFTA,electricity,wind,wind_storage,1975,0.45
EFTA,electricity,wind,wind_storage,1990,0.45
EFTA,electricity,wind,wind_storage,2005,0.45
EFTA,electricity,wind,wind_storage,2010,0.45
EFTA,electricity,wind,wind_storage,2015,0.45
EFTA,electricity,wind,wind_storage,2020,0.45
EFTA,electricity,wind,wind_storage,2025,0.45
EFTA,electricity,wind,wind_storage,2030,0.45
EFTA,electricity,wind,wind_storage,2035,0.45
EFTA,electricity,wind,wind_storage,2040,0.45
EFTA,electricity,wind,wind_storage,2045,0.45
EFTA,electricity,wind,wind_storage,2050,0.45
EFTA,electricity,wind,wind_storage,2055,0.45
EFTA,electricity,wind,wind_storage,2060,0.45
EFTA,electricity,wind,wind_storage,2065,0.45
EFTA,electricity,wind,wind_storage,2070,0.45
EFTA,electricity,wind,wind_storage,2075,0.45
EFTA,electricity,wind,wind_storage,2080,0.45
EFTA,electricity,wind,wind_storage,2085,0.45
EFTA,electricity,wind,wind_storage,2090,0.45
EFTA,electricity,wind,wind_storage,2095,0.45
EFTA,electricity,wind,wind_storage,2100,0.45
India,electricity,wind,wind_storage,1975,0.43
India,electricity,wind,wind_storage,1990,0.43
India,electricity,wind,wind_storage,2005,0.43
India,electricity,wind,wind_storage,2010,0.43
India,electricity,wind,wind_storage,2015,0.43
India,electricity,wind,wind_storage,2020,0.43
India,electricity,wind,wind_storage,2025,0.43
India,electricity,wind,wind_storage,2030,0.43
India,electricity,wind,wind_storage,2035,0.43
India,electricity,wind,wind_storage,2040,0.43
India,electricity,wind,wind_storage,2045,0.43
India,electricity,wind,wind_storage,2050,0.43
India,electricity,wind,wind_storage,2055,0.43
India,electricity,wind,wind_storage,2060,0.43
India,electricity,wind,wind_storage,2065,0.43
India,electricity,wind,wind_storage,2070,0.43
India,electricity,wind,wind_storage,2075,0.43
India,electricity,wind,wind_storage,2080,0.43
India,electricity,wind,wind_storage,2085,0.43
India,electricity,wind,wind_storage,2090,0.43
India,electricity,wind,wind_storage,2095,0.43
India,electricity,wind,wind_storage,2100,0.43
Indonesia,electricity,wind,wind_storage,1975,0.41
Indonesia,electricity,wind,wind_storage,1990,0.41
Indonesia,electricity,wind,wind_storage,2005,0.41
Indonesia,electricity,wind,wind_storage,2010,0.41
Indonesia,electricity,wind,wind_storage,2015,0.41
Indonesia,electricity,wind,wind_storage,2020,0.41
Indonesia,electricity,wind,wind_storage,2025,0.41
Indonesia,electricity,wind,wind_storage,2030,0.41
Indonesia,electricity,wind,wind_storage,2035,0.41
Indonesia,electricity,wind,wind_storage,2040,0.41
Indonesia,electricity,wind,wind_storage,2045,0.41
Indonesia,electricity,wind,wind_storage,2050,0.41
Indonesia,electricity,wind,wind_storage,2055,0.41
Indonesia,electricity,wind,wind_storage,2060,0.41
Indonesia,electricity,wind,wind_storage,2065,0.41
Indonesia,electricity,wind,wind_storage,2070,0.41
Indonesia,electricity,wind,wind_storage,2075,0.41
Indonesia,electricity,wind,wind_storage,2080,0.41
Indonesia,electricity,wind,wind_storage,2085,0.41
Indonesia,electricity,wind,wind_storage,2090,0.41
Indonesia,electricity,wind,wind_storage,2095,0.41
Indonesia,electricity,wind,wind_storage,2100,0.41
Japan,electricity,wind,wind_storage,1975,0.46
Japan,electricity,wind,wind_storage,1990,0.46
Japan,electricity,wind,wind_storage,2005,0.46
Japan,electricity,wind,wind_storage,2010,0.46
Japan,electricity,wind,wind_storage,2015,0.46
Japan,electricity,wind,wind_storage,2020,0.46
Japan,electricity,wind,wind_storage,2025,0.46
Japan,electricity,wind,wind_storage,2030,0.46
Japan,electricity,wind,wind_storage,2035,0.46
Japan,electricity,wind,wind_storage,2040,0.46
Japan,electricity,wind,wind_storage,2045,0.46
Japan,electricity,wind,wind_storage,2050,0.46
Japan,electricity,wind,wind_storage,2055,0.46
Japan,electricity,wind,wind_storage,2060,0.46
Japan,electricity,wind,wind_storage,2065,0.46
Japan,electricity,wind,wind_storage,2070,0.46
Japan,electricity,wind,wind_storage,2075,0.46
Japan,electricity,wind,wind_storage,2080,0.46
Japan,electricity,wind,wind_storage,2085,0.46
Japan,electricity,wind,wind_storage,2090,0.46
Japan,electricity,wind,wind_storage,2095,0.46
Japan,electricity,wind,wind_storage,2100,0.46
Mexico,electricity,wind,wind_storage,1975,0.46
Mexico,electricity,wind,wind_storage,1990,0.46
Mexico,electricity,wind,wind_storage,2005,0.46
Mexico,electricity,wind,wind_storage,2010,0.46
Mexico,electricity,wind,wind_storage,2015,0.46
Mexico,electricity,wind,wind_storage,2020,0.46
Mexico,electricity,wind,wind_storage,2025,0.46
Mexico,electricity,wind,wind_storage,2030,0.46
Mexico,electricity,wind,wind_storage,2035,0.46
Mexico,electricity,wind,wind_storage,2040,0.46
Mexico,electricity,wind,wind_storage,2045,0.46
Mexico,electricity,wind,wind_storage,2050,0.46
Mexico,electricity,wind,wind_storage,2055,0.46
Mexico,electricity,wind,wind_storage,2060,0.46
Mexico,electricity,wind,wind_storage,2065,0.46
Mexico,electricity,wind,wind_storage,2070,0.46
Mexico,electricity,wind,wind_storage,2075,0.46
Mexico,electricity,wind,wind_storage,2080,0.46
Mexico,electricity,wind,wind_storage,2085,0.46
Mexico,electricity,wind,wind_storage,2090,0.46
Mexico,electricity,wind,wind_storage,2095,0.46
Mexico,electricity,wind,wind_storage,2100,0.46
Middle East,electricity,wind,wind_storage,1975,0.43
Middle East,electricity,wind,wind_storage,1990,0.43
Middle East,electricity,wind,wind_storage,2005,0.43
Middle East,electricity,wind,wind_storage,2010,0.43
Middle East,electricity,wind,wind_storage,2015,0.43
Middle East,electricity,wind,wind_storage,2020,0.43
Middle East,electricity,wind,wind_storage,2025,0.43
Middle East,electricity,wind,wind_storage,2030,0.43
Middle East,electricity,wind,wind_storage,2035,0.43
Middle East,electricity,wind,wind_storage,2040,0.43
Middle East,electricity,wind,wind_storage,2045,0.43
Middle East,electricity,wind,wind_storage,2050,0.43
Middle East,electricity,wind,wind_storage,2055,0.43
Middle East,electricity,wind,wind_storage,2060,0.43
Middle East,electricity,wind,wind_storage,2065,0.43
Middle East,electricity,wind,wind_storage,2070,0.43
Middle East,electricity,wind,wind_storage,2075,0.43
Middle East,electricity,wind,wind_storage,2080,0.43
Middle East,electricity,wind,wind_storage,2085,0.43
Middle East,electricity,wind,wind_storage,2090,0.43
Middle East,electricity,wind,wind_storage,2095,0.43
Middle East,electricity,wind,wind_storage,2100,0.43
Pakistan,electricity,wind,wind_storage,1975,0.43
Pakistan,electricity,wind,wind_storage,1990,0.43
Pakistan,electricity,wind,wind_storage,2005,0.43
Pakistan,electricity,wind,wind_storage,2010,0.43
Pakistan,electricity,wind,wind_storage,2015,0.43
Pakistan,electricity,wind,wind_storage,2020,0.43
Pakistan,electricity,wind,wind_storage,2025,0.43
Pakistan,electricity,wind,wind_storage,2030,0.43
Pakistan,electricity,wind,wind_storage,2035,0.43
Pakistan,electricity,wind,wind_storage,2040,0.43
Pakistan,electricity,wind,wind_storage,2045,0.43
Pakistan,electricity,wind,wind_storage,2050,0.43
Pakistan,electricity,wind,wind_storage,2055,0.43
Pakistan,electricity,wind,wind_storage,2060,0.43
Pakistan,electricity,wind,wind_storage,2065,0.43
Pakistan,electricity,wind,wind_storage,2070,0.43
Pakistan,electricity,wind,wind_storage,2075,0.43
Pakistan,electricity,wind,wind_storage,2080,0.43
Pakistan,electricity,wind,wind_storage,2085,0.43
Pakistan,electricity,wind,wind_storage,2090,0.43
Pakistan,electricity,wind,wind_storage,2095,0.43
Pakistan,electricity,wind,wind_storage,2100,0.43
Russia,electricity,wind,wind_storage,1975,0.45
Russia,electricity,wind,wind_storage,1990,0.45
Russia,electricity,wind,wind_storage,2005,0.45
Russia,electricity,wind,wind_storage,2010,0.45
Russia,electricity,wind,wind_storage,2015,0.45
Russia,electricity,wind,wind_storage,2020,0.45
Russia,electricity,wind,wind_storage,2025,0.45
Russia,electricity,wind,wind_storage,2030,0.45
Russia,electricity,wind,wind_storage,2035,0.45
Russia,electricity,wind,wind_storage,2040,0.45
Russia,electricity,wind,wind_storage,2045,0.45
Russia,electricity,wind,wind_storage,2050,0.45
Russia,electricity,wind,wind_storage,2055,0.45
Russia,electricity,wind,wind_storage,2060,0.45
Russia,electricity,wind,wind_storage,2065,0.45
Russia,electricity,wind,wind_storage,2070,0.45
Russia,electricity,wind,wind_storage,2075,0.45
Russia,electricity,wind,wind_storage,2080,0.45
Russia,electricity,wind,wind_storage,2085,0.45
Russia,electricity,wind,wind_storage,2090,0.45
Russia,electricity,wind,wind_storage,2095,0.45
Russia,electricity,wind,wind_storage,2100,0.45
South Africa,electricity,wind,wind_storage,1975,0.44
South Africa,electricity,wind,wind_storage,1990,0.44
South Africa,electricity,wind,wind_storage,2005,0.44
South Africa,electricity,wind,wind_storage,2010,0.44
South Africa,electricity,wind,wind_storage,2015,0.44
South Africa,electricity,wind,wind_storage,2020,0.44
South Africa,electricity,wind,wind_storage,2025,0.44
South Africa,electricity,wind,wind_storage,2030,0.44
South Africa,electricity,wind,wind_storage,2035,0.44
South Africa,electricity,wind,wind_storage,2040,0.44
South Africa,electricity,wind,wind_storage,2045,0.44
South Africa,electricity,wind,wind_storage,2050,0.44
South Africa,electricity,wind,wind_storage,2055,0.44
South Africa,electricity,wind,wind_storage,2060,0.44
South Africa,electricity,wind,wind_storage,2065,0.44
South Africa,electricity,wind,wind_storage,2070,0.44
South Africa,electricity,wind,wind_storage,2075,0.44
South Africa,electricity,wind,wind_storage,2080,0.44
South Africa,electricity,wind,wind_storage,2085,0.44
South Africa,electricity,wind,wind_storage,2090,0.44
South Africa,electricity,wind,wind_storage,2095,0.44
South Africa,electricity,wind,wind_storage,2100,0.44
South America_Northern,electricity,wind,wind_storage,1975,0.43
South America_Northern,electricity,wind,wind_storage,1990,0.43
