# emiss
sector,technology,var1,var2,var3,var4,var5,var6,var7,var8,var9,unit_conv
chemical energy use,gas CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,,,,,,3.666667
chemical energy use,refined liquids CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Liquids|Energy,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,,,,,,3.666667
CO2 removal,hightemp DAC NG,Carbon Sequestration|Direct Air Capture,,,,,,,,,3.666667
CO2 removal,hightemp DAC elec,Carbon Sequestration|Direct Air Capture,,,,,,,,,3.666667
CO2 removal,lowtemp DAC heatpump,Carbon Sequestration|Direct Air Capture,,,,,,,,,3.666667
elec_biomass (conv CCS),biomass (conv CCS) (dry cooling),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,Carbon Sequestration|CCS|Biomass|Energy,Carbon Sequestration|CCS|Biomass|Energy|Supply,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,,,,,3.666667
elec_biomass (conv CCS),biomass (conv CCS) (once through),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,Carbon Sequestration|CCS|Biomass|Energy,Carbon Sequestration|CCS|Biomass|Energy|Supply,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,,,,,3.666667
elec_biomass (conv CCS),biomass (conv CCS) (recirculating),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,Carbon Sequestration|CCS|Biomass|Energy,Carbon Sequestration|CCS|Biomass|Energy|Supply,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,,,,,3.666667
elec_biomass (conv CCS),biomass (conv CCS) (seawater),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,Carbon Sequestration|CCS|Biomass|Energy,Carbon Sequestration|CCS|Biomass|Energy|Supply,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,,,,,3.666667
elec_biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,Carbon Sequestration|CCS|Biomass|Energy,Carbon Sequestration|CCS|Biomass|Energy|Supply,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,,,,,3.666667
elec_biomass (IGCC CCS),biomass (IGCC CCS) (once through),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,Carbon Sequestration|CCS|Biomass|Energy,Carbon Sequestration|CCS|Biomass|Energy|Supply,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,,,,,3.666667
elec_biomass (IGCC CCS),biomass (IGCC CCS) (recirculating),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,Carbon Sequestration|CCS|Biomass|Energy,Carbon Sequestration|CCS|Biomass|Energy|Supply,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,,,,,3.666667
elec_biomass (IGCC CCS),biomass (IGCC CCS) (seawater),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,Carbon Sequestration|CCS|Biomass|Energy,Carbon Sequestration|CCS|Biomass|Energy|Supply,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,,,,,3.666667
elec_coal (conv pul CCS),coal (conv pul CCS) (dry cooling),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
elec_coal (conv pul CCS),coal (conv pul CCS) (once through),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
elec_coal (conv pul CCS),coal (conv pul CCS) (recirculating),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
elec_coal (conv pul CCS),coal (conv pul CCS) (seawater),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
elec_coal (IGCC CCS),coal (IGCC CCS) (dry cooling),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
elec_coal (IGCC CCS),coal (IGCC CCS) (once through),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
elec_coal (IGCC CCS),coal (IGCC CCS) (recirculating),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
elec_coal (IGCC CCS),coal (IGCC CCS) (seawater),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
elec_gas (CC CCS),gas (CC CCS) (dry cooling),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
elec_gas (CC CCS),gas (CC CCS) (once through),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
elec_gas (CC CCS),gas (CC CCS) (recirculating),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
elec_gas (CC CCS),gas (CC CCS) (seawater),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
elec_refined liquids (CC CCS),refined liquids (CC CCS) (dry cooling),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Liquids|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
elec_refined liquids (CC CCS),refined liquids (CC CCS) (recirculating),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Liquids|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
elec_refined liquids (CC CCS),refined liquids (CC CCS) (seawater),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Liquids|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
elec_refined liquids (CC CCS),refined liquids (CC CCS) (once through),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Liquids|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
H2 central production,biomass to H2 CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,Carbon Sequestration|CCS|Biomass|Energy,Carbon Sequestration|CCS|Biomass|Energy|Supply,Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen,,,,,3.666667
H2 central production,coal chemical CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen,,,,,3.666667
H2 central production,natural gas steam reforming CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen,,,,,3.666667
iron and steel,EAF with DRI CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,,,,,,3.666667
N fertilizer,coal CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,,,,,,3.666667
N fertilizer,gas CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,,,,,,3.666667
process heat dac,gas CCS,Carbon Sequestration|Direct Air Capture,,,,,,,,,3.666667
refining,cellulosic ethanol CCS level 1,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,Carbon Sequestration|CCS|Biomass|Energy,Carbon Sequestration|CCS|Biomass|Energy|Supply,Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,,,,,3.666667
refining,cellulosic ethanol CCS level 2,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,Carbon Sequestration|CCS|Biomass|Energy,Carbon Sequestration|CCS|Biomass|Energy|Supply,Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,,,,,3.666667
refining,coal to liquids CCS level 1,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids,,,,,3.666667
refining,coal to liquids CCS level 2,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids,,,,,3.666667
refining,FT biofuels CCS level 1,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,Carbon Sequestration|CCS|Biomass|Energy,Carbon Sequestration|CCS|Biomass|Energy|Supply,Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,,,,,3.666667
refining,FT biofuels CCS level 2,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,Carbon Sequestration|CCS|Biomass|Energy,Carbon Sequestration|CCS|Biomass|Energy|Supply,Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,,,,,3.666667
